r (mm),theta (deg),z (mm),Driving Frequency (Hz),Power Supply Average (V),Power Supply Min (V),Power Supply Max (V),TX Current RMS (A),TX Current Peak-to-Peak (A),TX Current Average (A),TX Current Frequency (Hz),TX Voltage RMS (V),TX Voltage Peak-to-Peak (V),TX Voltage Average (V),TX Voltage Frequency (Hz),RX Voltage Average (V),RX Voltage RMS (V),RX Coil Min (V),RX Coil Max (V),RX Force (mN)
120.0,0.0,175.0,115300.0,9.78922675280858,9.11324485781566,10.390361380132308,3.7003257384525794,10.466101689035753,0.4362931099365468,126874.27912341408,199.5006555996981,564.2730657028341,3.454245549796207,115364.44677503932,1.263737025125781,1.263737025125781,-0.5783190038228747,2.5074631727784387,109.87200000000001
120.0,0.0,175.0,115400.0,9.794495888395815,9.080287012078456,10.423319225869514,3.689372799880574,10.435122100483014,0.45479725856558334,126728.11059907834,199.02925976431484,562.9397569355436,3.820069663246321,115364.44677503932,1.272899992679439,1.272899992679439,-0.5783190038228747,2.4746357028145947,110.11725
120.0,0.0,175.0,115500.0,9.795204482079166,9.088526473512758,10.39860084156661,3.884457814812309,10.98690584834745,0.12101249176054757,115473.44110854504,209.46178848043132,592.447404135901,3.785010649521494,115473.44110854504,1.3522932287869949,1.3522932287869949,-0.6029396062957575,2.6716005225976573,112.32450000000001
120.0,0.0,175.0,115600.0,9.786709597340401,8.981413474866844,10.456277071606717,4.096677197094303,11.587152905590722,0.15326735309540535,115540.15020219526,221.63618246022023,626.8817902956827,3.74056082854895,115673.7998843262,1.4496677115672467,1.4496677115672467,-0.5865258713138356,2.8275310049259152,114.04125
120.0,0.0,175.0,115700.0,9.784641492520391,8.964934551998242,10.489234917343921,4.323922007888969,12.22989829240017,0.13153019971718727,127314.81481481482,234.33829923640965,662.8088019271505,4.283766856678233,115740.74074074073,1.515527823182208,1.515527823182208,-0.6029396062957575,2.9998752222360947,117.72
120.0,0.0,175.0,115800.0,9.774181496229547,9.039089704906951,10.497474378778222,4.322614479998103,12.226200045047284,0.44890767627056255,126249.3424513414,234.53265288422767,663.3585170564323,-1.7707996028357857,115728.56391372962,1.5089705360569303,1.5089705360569303,-0.6685945462234449,2.975254619763212,117.47475
120.0,0.0,175.0,115900.0,9.754925874857586,9.080287012078456,10.505713840212522,4.582330072257634,12.960786670913663,0.4379472053896164,136914.1653501843,248.80992949682337,703.7407534950024,-1.2234198825964004,115911.48577449948,1.6298946251024942,1.6298946251024942,-0.676801413714406,3.2132537770010794,120.1725
120.0,0.0,175.0,116000.0,9.758172222662699,8.86606101478663,10.522192763081126,4.8635803488602445,13.756282582098855,0.14305038976659648,127610.20881670534,264.487141612492,748.0826054833592,5.311955908000933,116009.28074245939,1.7065795949380334,1.7065795949380334,-0.6439739437505622,3.39380486180222,123.11550000000001
120.0,0.0,175.0,116100.0,9.723937260403178,8.882539937655233,10.513953301646824,5.169100556518053,14.62042422459629,0.14590746373098934,116144.01858304298,281.1983609906667,795.3490716601726,4.560065274366737,116144.01858304298,1.8627850073272385,1.8627850073272385,-0.6275602087686404,3.607183416567204,127.03950000000002
120.0,0.0,175.0,116200.0,9.711079580834951,8.78366640044362,10.480995455909621,5.169516508371866,14.621600714102202,0.09526541001125152,116211.50493898896,281.7102520779449,796.7969182963462,4.681102345559587,116144.01858304298,1.8563015820093791,1.8563015820093791,-0.6850082812053669,3.738493296422579,127.53
120.0,0.0,175.0,116300.0,9.7127727901597,8.808384784746524,10.56339007025263,5.5252335321745365,15.627720392959661,0.10348576317196127,127981.38452588714,300.67254787530277,850.4303900770539,5.50352837585445,116279.06976744186,1.9892528353629464,1.9892528353629464,-0.7178357511692106,3.902630646241798,130.9635
120.0,0.0,175.0,116400.0,9.676523279579495,8.849582091918029,10.489234917343921,5.887737249225805,16.653035739088786,0.47071166178829854,116402.1164021164,322.3827049632599,911.8359872671326,-1.022247922889662,116463.73742721017,2.143615806000431,2.143615806000431,-0.676801413714406,4.2637328158440795,135.8685
120.0,0.0,175.0,116500.0,9.64181866801822,8.742469093272117,10.530432224515426,6.325717605706716,17.891831259465402,0.09278426683164714,116525.42372881356,346.24766859096985,979.3362977228286,5.126226609101568,116482.23645894002,2.308257878170344,2.308257878170344,-0.652180811241523,4.624834985446361,140.7735
120.0,0.0,175.0,116600.0,9.641592082828774,8.78366640044362,10.513953301646824,6.324202055780964,17.887544636946497,0.47513093701392406,127118.6440677966,346.324444412381,979.5534525386327,-1.533525206376701,116525.42372881356,2.332985169920609,2.332985169920609,-0.6357670762596013,4.600214382973478,141.01874999999998
120.0,0.0,175.0,116700.0,9.614352423326974,8.750708554706417,10.522192763081126,6.795837798288129,19.221531964053572,0.06872469660517976,116648.99257688229,373.2145497154849,1055.610155765213,5.224099689083369,116686.11435239206,2.486691591158816,2.486691591158816,-0.7260426186601716,5.010557757521524,146.90475
120.0,0.0,175.0,116800.0,9.561545714994539,8.742469093272117,10.480995455909621,7.300522816332069,20.648996758542072,0.07235869419146908,116834.8380244291,401.05806660258,1134.3635141770014,6.631468668608499,116822.42990654206,2.6943212352463823,2.6943212352463823,-0.7178357511692106,8.096339934122838,153.28125
120.0,0.0,175.0,116900.0,9.51816083081223,8.725990170403513,10.538671685949728,7.851348793723252,22.206967894010127,0.47939148590819436,117021.27659574468,432.09520634806415,1222.1498021076668,-0.9594338566326805,116959.06432748538,2.9096530244742156,2.9096530244742156,-0.7096288836782496,5.798417036653775,161.61975
120.0,0.0,175.0,117000.0,9.531278053415637,8.725990170403513,10.57162953168693,7.83059590098588,22.148269849274797,0.552564324662926,127591.70653907496,430.4096539799986,1217.3823400696501,8.501700103143518,116896.91817215728,2.9330220796547275,2.9330220796547275,-0.7260426186601716,5.9133131815272275,161.3745
120.0,0.0,175.0,117100.0,9.467356311608329,8.75894801614072,10.530432224515426,8.439608106939296,23.870816491894953,0.5262073996405288,117083.5550824907,464.3046029227992,1313.2517330513544,-1.5374902138813022,117083.5550824907,3.1982146923238934,3.1982146923238934,-0.7752838236059373,6.430345833457767,169.713
120.0,0.0,175.0,117200.0,9.403908338833494,8.725990170403513,10.472755994475321,9.003794887907446,25.466577686608506,0.032643695282918474,117270.78891257997,496.7206063220071,1404.938036341539,7.104347984682631,117233.29425556859,3.4562303993722145,3.4562303993722145,-0.7342494861511326,7.045860895279837,177.31575
